	name	residence	current_location	company	birthdate	sex	blood_group	race	ssn
1569	Felicia Cannon	"50784 Murphy Mount Suite 393
Port Darrell, MA 57668"	(Decimal('-41.046278'), Decimal('-94.349878'))	Rodriguez-Hall	06/22/1961, 00:00:00	F	AB-	White	641-88-2385
1570	Ashley Peters	"Unit 3586 Box 1944
DPO AP 75086"	(Decimal('-66.7469685'), Decimal('-146.539624'))	Huynh-Whitney	1910/01/20	F	AB+	White	224-43-9957
1571	Jennifer Horne	"056 Martin Parks Apt. 714
Hensleymouth, IL 03437"	(Decimal('-85.548978'), Decimal('-63.579918'))	Gibson-Wright	1969/09/05	F	B+	White	830-68-1243
1572	Jerry Martinez	"PSC 7749, Box 2025
APO AA 54666"	(Decimal('24.8795485'), Decimal('-161.052642'))	Jordan Inc	17 Sep 1954	M	O-	Black	766-30-1503
1573	Stephen Fleming	"430 Hernandez Burgs
North Grace, ND 05965"	(Decimal('-11.5182955'), Decimal('-57.647707'))	Henderson Ltd	1942/11/23	M	AB-	Hawaiian	138-38-2249
1574	Erik Miller	"15718 Marks Wall Apt. 777
South Williamville, TX 44383"	(Decimal('-74.2907455'), Decimal('0.132067'))	Taylor Group	1929/08/14	M	AB-	Black	389-74-0229
1575	Nicholas Stuart	"1137 Jeremy Parkway Apt. 163
Rebeccaport, RI 85597"	(Decimal('-64.936386'), Decimal('-51.359666'))	Jenkins Group	1955-09-18	M	B-	Asian	111-57-5562
1576	Jenna Parker	"PSC 0834, Box 0788
APO AP 33913"	(Decimal('-4.635221'), Decimal('-132.875661'))	Chaney-Brown	1962/08/19	F	AB-	Black	126-36-0042
1577	Francisco Strong	"849 Davis Dam Suite 089
Chavezview, MI 11661"	(Decimal('-62.320160'), Decimal('-71.736081'))	Jackson-Mathis	1927-06-25	M	B+	White	223-70-3040
1578	Alisha Oconnor	"4396 Frank Throughway Suite 240
East David, MT 08125"	(Decimal('-6.169083'), Decimal('156.709456'))	Byrd-Carson	13 Jun 1947	F	A-	White	382-73-6797
1579	Cynthia Coleman	"2094 Gonzales Mission
Davisland, WA 20578"	(Decimal('-10.3540235'), Decimal('94.765361'))	Smith-Brown	03 Sep 2014	F	O+	White	163-15-6782
1580	Morgan Gibbs	"7130 Lauren Stream
Leeburgh, AR 93955"	(Decimal('-20.951182'), Decimal('177.709190'))	Paul Inc	09/22/1953, 00:00:00	F	B-	Black	853-86-7699
1581	Stephanie Madden	"407 Johnson Loop
North Johnhaven, KY 67618"	(Decimal('4.526728'), Decimal('112.381724'))	Day-Mack	08/19/1989, 00:00:00	F	AB-	White	181-26-1084
1582	Steven Brown	"13512 Hess Turnpike
North Frankberg, MT 40508"	(Decimal('81.6324685'), Decimal('-103.448954'))	Young Group	14 Sep 2017	M	B+	white	309-12-9241
1583	Laurie Allen	"092 Anderson Common Suite 013
West Steven, ND 77350"	(Decimal('71.8647045'), Decimal('-9.365086'))	Stanley-Snyder	2013/07/06	F	O-	Black	468-63-2853
1584	Brandon Brown	"3910 Jennifer Light Apt. 198
Michaelmouth, NY 74169"	(Decimal('-23.859255'), Decimal('179.155313'))	Wallace, Carr and Mullen	09 Sep 2014	M	B+	White	157-98-2473
1585	Heather Perkins	"USS Wright
FPO AA 53967"	(Decimal('-27.7381825'), Decimal('-84.094945'))	Bauer-Molina	1948-02-02	F	AB+	White	754-28-9855
1586	Edward Herrera	"9215 Rachel Neck
Staffordburgh, WI 26651"	(Decimal('82.2066895'), Decimal('153.962192'))	Cox-Stein	04/23/1918, 00:00:00	M	AB+	blsck	700-82-3650
1587	Lisa Olsen	"Unit 8725 Box 7098
DPO AP 78099"	(Decimal('-38.102713'), Decimal('-131.014608'))	Johnson-Hammond	1955-06-15	F	A+	Asian	419-24-4934
1588	Ronald Gilmore	"009 Cantu Forges Suite 944
Kevinland, RI 60848"	(Decimal('-11.2722315'), Decimal('121.318665'))	Dunn Group	1951-04-30	M	O+	Black	015-21-0098
1589	Christine Colon	"6427 Walton Summit
New Garyside, MN 79431"	(Decimal('-34.735340'), Decimal('-172.795687'))	Simmons, Kennedy and Bowers	1978/05/04	F	B+	White	275-15-2926
1590	Benjamin Wright	"6358 Peter Streets
West Gabriel, WI 98367"	(Decimal('-39.4190125'), Decimal('118.628102'))	Herman, Williams and Erickson	1947/06/24	M	B-	White	588-31-9694
1591	Tyler Banks	"58512 Smith Greens
Susanton, KY 46449"	(Decimal('-49.3421325'), Decimal('91.777451'))	Wolf, Young and Taylor	10/31/1912, 00:00:00	M	A+	Indian	215-97-9938
1592	Emma Gibbs	"391 Franklin Rapid
Jamesside, AL 69153"	(Decimal('34.0244965'), Decimal('-145.574045'))	Rodriguez and Sons	02/23/1950, 00:00:00	F	A-	Asian	874-78-0471
1593	Tyler Reed	"05476 Mckay Alley
East Angelamouth, DE 46854"	(Decimal('6.4776435'), Decimal('55.485246'))	Young and Sons	2011/06/04	M	O+	blsck	857-03-8815
1594	Carlos Reynolds	"17355 Bond Corner Suite 240
West Hayley, MO 26688"	(Decimal('27.250071'), Decimal('-136.981165'))	Graham-Hanna	2016/09/07	M	AB-	White	628-07-6142
1595	Lori Baker	"197 Heather View
East Timothyland, NE 54556"	(Decimal('-30.340543'), Decimal('-177.424529'))	Haas-Nelson	23 Jul 1952	F	A+	black	304-95-1737
1596	Natalie Munoz	"56166 Henry Center Apt. 227
Lake Stacyville, ND 31168"	(Decimal('64.080954'), Decimal('110.808091'))	Ashley-Atkinson	09/02/1942, 00:00:00	F	B+	Hawaiian	696-31-1566
1597	Michael Gilbert	"31326 Amanda Flat
Vasquezburgh, VT 97597"	(Decimal('-0.078188'), Decimal('-136.849072'))	Castaneda, Wilson and Bender	1959/07/23	M	AB+	White	031-33-1345
1598	Sarah Lara	"3360 Zachary Villages Suite 598
South Julieton, AZ 42658"	(Decimal('-66.2189745'), Decimal('-81.242967'))	Hicks-Lyons	12 Jun 1969	F	A+	Black	210-08-1860
1599	Melissa Johnson	"0381 Justin Drive Suite 563
Millermouth, IL 32535"	(Decimal('18.971598'), Decimal('16.979329'))	Webster, Martin and Dorsey	1968/02/06	F	AB+	Black	242-60-5439
1600	Robert Vasquez	"6767 Winters Loop
Walkerville, IN 71007"	(Decimal('63.4136715'), Decimal('37.226468'))	Hansen-Parker	18 Mar 2004	M	B-	Asian	196-64-0886
1601	Diana Jones	"6580 Kendra Mount
New Rebecca, NH 01053"	(Decimal('14.9345715'), Decimal('-177.731799'))	Wells, Serrano and Turner	01/31/1989, 00:00:00	F	A+	White	184-62-8138
1602	Christina Reyes	"4370 Virginia Stravenue
North Kyleshire, SC 37557"	(Decimal('23.0385585'), Decimal('155.861583'))	York Group	07/13/1986, 00:00:00	F	O+	Black	598-45-7463
1603	Kimberly Greene	"2691 King Squares Suite 257
North Daniel, KY 90062"	(Decimal('82.3965915'), Decimal('-40.844263'))	Taylor, Fields and Thompson	04/28/1915, 00:00:00	F	B+	White	476-99-8322
1604	Dr. Helen Garcia	"6410 Carlos Fall
Louisborough, HI 84216"	(Decimal('-34.5237875'), Decimal('1.568353'))	Allen-Dickerson	1940-11-03	F	B-	Black	260-09-4681
1605	David Robertson	"PSC 1019, Box 8158
APO AA 06259"	(Decimal('70.6936215'), Decimal('-120.919017'))	Martin, Stokes and Hart	07/07/1972, 00:00:00	M	O+	Hawaiian	717-79-1587
1606	Nicole Scott	"3898 Sandra Lake
Nixontown, OR 76627"	(Decimal('-71.561682'), Decimal('-157.201498'))	Smith-Davis	17 Jan 1935	F	B+	White	436-08-9286
1607	Kayla Contreras	"3006 James Parkway Suite 346
Simmonsmouth, NY 01910"	(Decimal('58.233297'), Decimal('47.946345'))	Miller Group	10/14/1936, 00:00:00	F	B+	White	015-97-2650
1608	William Martin DDS	"PSC 4940, Box 7982
APO AP 97222"	(Decimal('-15.313355'), Decimal('-140.852077'))	Obrien, Ryan and Jones	13 Jun 1941	M	B-	Black	010-84-8205
1609	Kimberly Miller	"PSC 1916, Box 3291
APO AE 29721"	(Decimal('-33.877761'), Decimal('-95.585507'))	Kelly PLC	1944-02-03	F	A-	Asian	143-70-2819
1610	Shawn Mckinney	"9831 Jason Port
Keithmouth, DE 21556"	(Decimal('-51.6618275'), Decimal('120.911072'))	Davis-Lowe	1912/08/01	M	AB-	Black	220-42-4964
1611	Kevin Kerr	"5629 Burke Points Suite 762
Port Jordan, MO 04252"	(Decimal('60.3386195'), Decimal('-40.236253'))	Glover Ltd	04/30/1922, 00:00:00	M	B+	Black	297-55-4991
1612	Brad Abbott	"88128 Mack Shores Suite 202
Mendezburgh, NY 83715"	(Decimal('-79.2479225'), Decimal('8.691117'))	Tapia LLC	07 Apr 1973	M	A-	White	501-19-8569
1613	Jennifer Smith	"56145 Shirley Circles Apt. 534
Port Richard, CA 41488"	(Decimal('81.5805215'), Decimal('-112.497579'))	Russell, Harris and Hayes	06 Aug 1998	F	A-	black	259-21-4103
1614	David Mathews	"8218 Jason Pines
Emilymouth, TX 55612"	(Decimal('-28.636410'), Decimal('-105.664655'))	May Group	1910-12-30	M	AB-	Black	563-31-0652
1615	Tammy Boone	"0201 Cooper Club
Rachaelberg, LA 47454"	(Decimal('-0.2803175'), Decimal('134.928007'))	Macias, Santana and Stewart	1908-12-27	F	AB-	Black	540-50-2080
1616	Rebecca Barajas	"787 Craig Terrace
Weberville, FL 43928"	(Decimal('-69.7802075'), Decimal('-63.603315'))	Byrd-Duarte	05 Nov 1982	F	AB-	Asian	047-34-1246
1617	Michael Nelson	"36709 Tina Springs Suite 801
Tinabury, AR 11680"	(Decimal('13.780915'), Decimal('36.628291'))	James, Vargas and Caldwell	1941-07-01	M	A+	black	003-74-9880
1618	Cheyenne Cordova	"3438 Wu Court
South Frankstad, NH 20420"	(Decimal('-67.6721755'), Decimal('-41.121744'))	Welch-Li	1931-06-03	F	AB+	White	752-45-0074
1619	Andrew Maddox	"88851 Patterson Trafficway Apt. 215
Daltonberg, MT 95575"	(Decimal('53.7525455'), Decimal('83.408142'))	Patterson Group	1998/11/30	M	B+	White	246-18-2127
1620	Amber Rojas	"4637 Mcclain Pike
Steveshire, WV 40185"	(Decimal('-43.8570885'), Decimal('47.184949'))	Smith Ltd	06/14/1928, 00:00:00	F	O+	White	662-40-8145
1621	Heather Nelson	"99281 Pamela Pines Suite 713
Lake Elizabethland, WA 14997"	(Decimal('-75.0829975'), Decimal('-35.172893'))	Cox-Sullivan	22 Dec 1930	F	B+	White	464-46-5748
1622	Andrew Mcguire	"078 Jimmy Rest
Mariaview, AL 91338"	(Decimal('85.097062'), Decimal('150.271419'))	Howard-Gentry	12/01/1988, 00:00:00	M	AB+	White	492-03-4500
1623	Jacqueline Kelley	"5483 Misty Plains
Danielmouth, NH 19194"	(Decimal('19.2933855'), Decimal('-45.603624'))	Smith, Crosby and Strong	30 Nov 1915	F	O+	Indian	462-53-3424
1624	Diana Rodriguez	"005 Johnson Vista
West Rebeccastad, DE 91544"	(Decimal('-26.6056425'), Decimal('-16.816891'))	Martinez Inc	20 Jul 1954	F	O-	White	051-72-2822
1625	Ashley Wilson	"7368 Marie Extensions
East Russellton, TX 71566"	(Decimal('-35.526905'), Decimal('177.584830'))	Watkins-Palmer	19 Aug 1969	F	AB-	White	599-36-1543
1626	Theresa Miller	"854 Amanda Key Apt. 570
Danielfort, AK 03223"	(Decimal('-88.0515455'), Decimal('120.919655'))	Hood-Chavez	1921-04-24	F	AB+	Black	858-99-8805
1627	Vanessa Gallegos	"101 Monica Spurs Apt. 313
Davidville, WV 81538"	(Decimal('-87.832998'), Decimal('94.310062'))	Macdonald-Glenn	1906-06-19	F	B+	Asian	567-20-1290
1628	Linda Johnson	"PSC 8476, Box 4613
APO AE 34575"	(Decimal('36.845802'), Decimal('101.385031'))	Miranda-Valentine	1954/12/22	F	B-	White	725-04-2081
1629	Brooke Keith	"4866 Christy Via
South Robertview, MO 93352"	(Decimal('65.1481395'), Decimal('64.682645'))	Webb, King and Russo	01/13/1983, 00:00:00	F	B-	Black	405-84-3544
1630	Catherine Delgado	"1532 Vang Light Suite 115
Gutierrezmouth, NH 72371"	(Decimal('-52.811032'), Decimal('-39.918124'))	Oliver-Garcia	07/25/2002, 00:00:00	F	B-	Black	113-40-9703
1631	Brenda Robbins	"5125 Greene Grove
South James, PA 49903"	(Decimal('51.882260'), Decimal('-59.930489'))	Tapia Inc	20 May 1931	F	B+	White	628-62-0877
1632	Joyce Hays	"7200 Brandon Shoal
New Sarahhaven, CA 73102"	(Decimal('-1.025842'), Decimal('83.942763'))	Lucero, Lopez and Jackson	09/05/1914, 00:00:00	F	O+	Black	601-76-6533
1633	Kristin Summers	"555 Gonzales Ways Apt. 470
Milesbury, PA 50947"	(Decimal('-34.096203'), Decimal('175.361599'))	Howard-Newman	12 Feb 1953	F	A+	White	833-85-7707
1634	Andrea Griffin	"136 Benson Ports Suite 549
Matthewstad, MI 53389"	(Decimal('33.7686475'), Decimal('-166.284075'))	Gonzales, Huffman and Terrell	10/30/1919, 00:00:00	F	O+	White	747-61-6114
1635	Jose Garcia	"577 Charlotte Plaza
Garzamouth, MD 53985"	(Decimal('32.513774'), Decimal('-113.634542'))	Sanchez Group	06 Oct 2003	M	B-	Hawaiian	238-53-4449
1636	James Kelly	"45961 Deanna Junction Apt. 186
South Michele, MS 95730"	(Decimal('1.0008655'), Decimal('84.217114'))	Rivers-Torres	1928/02/23	M	O-	White	306-37-1869
1637	Lauren Pearson	"0333 Hamilton Tunnel
Lake Markside, IA 34009"	(Decimal('-78.9570825'), Decimal('20.311777'))	Woods LLC	1993-02-20	F	B+	Asian	353-68-6363
1638	David Cain	"168 Melissa Valleys
East Paula, KY 96545"	(Decimal('60.762903'), Decimal('62.206427'))	Chen, Anderson and Reyes	1978/02/01	M	B-	White	031-26-2910
1639	Loretta Gordon	"6884 Ruben Wall Suite 901
Maryton, MN 76121"	(Decimal('-6.2052965'), Decimal('-0.823344'))	Rodriguez, Herrera and Acevedo	1995-01-13	F	O-	White	023-31-3295
1640	Emma Smith	"499 Caitlin Flats Suite 454
East Nicoleland, NH 42901"	(Decimal('60.6207645'), Decimal('-54.358479'))	White-Fitzpatrick	10 Mar 1965	F	AB+	Asian	140-47-8742
1641	Sarah Taylor	"1533 Kennedy Wells Apt. 257
Harristown, VT 54297"	(Decimal('23.787611'), Decimal('153.323799'))	Spears PLC	1975-08-09	F	A+	Black	587-61-3246
1642	Cheryl Richard	"787 Christian Ford Apt. 659
North Louis, VA 99334"	(Decimal('-86.6209725'), Decimal('-53.633634'))	Smith, Smith and Porter	27 Feb 1936	F	A+	Black	723-03-4572
1643	Steven Hicks	"28381 Watson Street
West Davidberg, AL 60699"	(Decimal('65.784339'), Decimal('74.474074'))	Riley-Mitchell	1930-06-25	M	B+	Asian	197-63-4661
1644	Ryan Black	"21232 Calderon Shores Apt. 455
Luisville, ND 30531"	(Decimal('-60.568034'), Decimal('-175.690212'))	Ayala, Perez and Murphy	1944-10-12	M	AB+	White	059-28-3990
1645	Christopher Reyes	"PSC 0126, Box 6232
APO AP 38311"	(Decimal('86.5719525'), Decimal('29.121740'))	Cooper-Moody	01/13/1927, 00:00:00	M	AB-	White	154-19-7649
1646	Shane Simpson	"564 Lee Green
Deanton, FL 14712"	(Decimal('3.909498'), Decimal('148.028829'))	Allen, Prince and King	1983/11/27	M	B-	White	264-89-0797
1647	Rodney Davis	"94314 Michael Ridges
North Lisa, ND 61011"	(Decimal('-21.152843'), Decimal('-111.312873'))	James Ltd	07/05/1935, 00:00:00	M	O+	Black	261-84-3561
1648	Emily Savage	"50968 Jennifer Village Suite 742
Taylorland, FL 72036"	(Decimal('27.2596975'), Decimal('-112.335569'))	Parker LLC	1913-04-25	F	B+	Black	410-13-2703
1649	Christina Gomez	"22221 Cohen Isle Apt. 810
Jamesview, LA 54880"	(Decimal('81.078682'), Decimal('-164.022973'))	Clay-Taylor	09/10/1988, 00:00:00	F	O-	White	510-84-4109
1650	Katie Sullivan	"PSC 2116, Box 0438
APO AE 14412"	(Decimal('54.243784'), Decimal('-47.535399'))	Martinez PLC	1991/02/11	F	O-	Asian	287-50-8771
1651	Krystal Perry	"91880 Norris Trail Suite 258
New Rebeccafurt, PA 46237"	(Decimal('-83.148625'), Decimal('76.354278'))	Ward Ltd	1938-09-12	F	O+	White	137-80-8527
1652	Trevor Leonard	"6727 Lauren Lock
Lindashire, VT 34168"	(Decimal('-30.5043735'), Decimal('17.177762'))	Case-Torres	10/28/1964, 00:00:00	M	A-	White	545-51-4865
1653	Alexis Pena	"177 Hoffman Stream Apt. 408
South Jamie, TN 05367"	(Decimal('-33.863789'), Decimal('65.994667'))	Zamora PLC	04 Aug 1937	F	A-	Black	791-18-6711
1654	Elizabeth Figueroa	"USNV Buckley
FPO AP 10669"	(Decimal('-18.122901'), Decimal('-34.492666'))	Stone LLC	1975/06/16	F	B-	Black	279-98-0381
1655	Kristen Villanueva	"91477 Shelly Flats
East Alisha, NJ 86769"	(Decimal('-43.1844715'), Decimal('-50.893932'))	Rodriguez, Simpson and Davis	1919/02/25	F	A-	White	400-78-6136
1656	Maria Young	"USCGC Martinez
FPO AA 58520"	(Decimal('-47.8049975'), Decimal('178.709888'))	Meyers-Garcia	2013/07/24	F	A-	Asian	095-53-3397
1657	Michael Schaefer	"PSC 0074, Box 9587
APO AP 51662"	(Decimal('42.0779585'), Decimal('164.654620'))	Atkinson-Smith	10/01/1933, 00:00:00	M	O-	Black	418-39-5046
1658	Diane Anderson	"854 Ramirez Mission
West Ericmouth, LA 33210"	(Decimal('-35.988084'), Decimal('119.838313'))	Green-Walls	19 Mar 1931	F	AB+	White	091-35-6875
1659	Rebecca Baker	"8844 Matthew Flats
Martinezburgh, ID 40511"	(Decimal('-46.470664'), Decimal('143.357095'))	Brandt, Garcia and Higgins	1913-08-09	F	A-	White	444-43-1908
1660	Brandy Bryant	"39478 Hall Fields Apt. 590
Robinmouth, SD 72120"	(Decimal('-84.6960405'), Decimal('-102.541411'))	Fisher, Powers and Reed	02/05/1948, 00:00:00	F	AB-	Black	102-77-5203
1661	William Hicks	"89334 Phillip Lights Suite 928
Walkerside, WA 49669"	(Decimal('-7.941518'), Decimal('-109.597224'))	Horn-Adams	06/28/1909, 00:00:00	M	AB+	White	231-53-0040
1662	Paul Cooley	"153 Dunn Branch Suite 665
East David, NM 57153"	(Decimal('-62.4439625'), Decimal('95.831387'))	Taylor-Frank	1916-04-21	M	B-	White	445-22-8559
1663	Rebecca Matthews	"679 Curry Plain
New Peterburgh, MA 50122"	(Decimal('9.241950'), Decimal('-157.852749'))	Shah Group	1986/07/21	F	O+	White	475-29-4577
1664	Andrew Cain	"976 Garcia Gardens
West Nancy, RI 92564"	(Decimal('-19.548099'), Decimal('-160.611015'))	Cordova and Sons	09/02/1969, 00:00:00	M	A+	white	342-94-4500
1665	Katrina Floyd	"7969 Alexandria Estates Apt. 232
Doughertyburgh, NH 31521"	(Decimal('-40.665320'), Decimal('-172.786644'))	Haynes LLC	06/07/1953, 00:00:00	F	A-	White	104-04-6405
1666	Paige Parsons	"51463 Michael Circles
South Seanburgh, MS 87176"	(Decimal('-16.1603105'), Decimal('-106.085254'))	Wells Inc	27 Dec 1907	F	O+	White	249-52-0513
1667	Michael Smith	"72292 Theresa Meadow
Robertburgh, MD 93391"	(Decimal('-80.204534'), Decimal('44.722269'))	Fry, Chavez and Mckenzie	13 Sep 1992	M	A-	Asian	096-38-4032
1668	Brooke Fischer	"5784 Douglas Creek Apt. 698
Joshuaborough, AR 47774"	(Decimal('63.201998'), Decimal('37.029397'))	Watson Inc	1919-11-07	F	A-	White	029-37-0713
1669	Julie Gross	"PSC 5967, Box 1142
APO AP 06890"	(Decimal('60.382174'), Decimal('-72.118950'))	Moran-Cherry	08/02/1984, 00:00:00	F	AB+	Black	208-37-2137
1670	Courtney Lucas	"0454 Nicole Crossing Apt. 238
New Laurenstad, NC 87857"	(Decimal('-33.4001715'), Decimal('-84.308567'))	Anderson, Andrews and Bailey	2018-02-03	F	B+	White	674-90-3474
1671	Michael Barber	"6311 Juan Inlet Apt. 621
Donnaland, ME 56907"	(Decimal('83.9711915'), Decimal('138.742944'))	Spears Ltd	01/20/2012, 00:00:00	M	A+	White	547-42-2469
1672	Robert Wilson	"2854 Rodriguez Port Suite 255
Barnettfurt, VA 93651"	(Decimal('66.936331'), Decimal('20.352900'))	Carter-Steele	1990-06-06	M	O-	White	485-65-0460
1673	Nathan Long	"3874 Fisher Extensions
Rebeccamouth, DC 68261"	(Decimal('33.876833'), Decimal('-136.129493'))	Cross, Peterson and Moran	2015/10/18	M	B-	White	225-69-1192
1674	Troy Huff	"74907 Justin Spur Apt. 072
Stephensborough, NC 38407"	(Decimal('22.6850005'), Decimal('-136.943249'))	French, Gill and Sawyer	04/10/1931, 00:00:00	M	B+	White	421-20-8966
1675	Natalie Lawrence	"461 Amber Valley Suite 587
East James, KY 89386"	(Decimal('67.0682505'), Decimal('155.686200'))	May Group	08/19/1999, 00:00:00	F	AB-	White	688-43-4769
1676	Tracy Brown DDS	"86704 Parsons Path
South Lisa, WA 65750"	(Decimal('40.587374'), Decimal('-145.818122'))	Garza Group	2013-11-28	F	AB-	Asian	649-24-5869
1677	Michael Santiago	"5404 Brittney Forks
Davidland, CO 40396"	(Decimal('57.3065265'), Decimal('-65.725719'))	Green and Sons	1975-07-19	M	A+	White	499-74-5618
1678	Cindy Walker	"USCGC Aguilar
FPO AA 99118"	(Decimal('-69.8395655'), Decimal('-50.457688'))	Alvarez-Becker	15 Jul 1957	F	B-	White	322-72-2992
1679	Courtney Stewart	"77219 Jeffrey Mission Apt. 633
Gouldbury, SD 60984"	(Decimal('47.536721'), Decimal('-37.609920'))	Taylor-Reed	1962-12-08	F	AB-	White	756-81-5820
1680	Robert Blankenship	"565 Anthony Glen Apt. 632
Lake Cameronton, GA 27408"	(Decimal('40.448965'), Decimal('4.651321'))	Castillo-Brown	2010-09-29	M	B+	Asian	790-48-5251
1681	Paul Scott	"2765 Kimberly Meadows Apt. 580
Martinezland, AR 47940"	(Decimal('30.035091'), Decimal('23.083569'))	Manning, Wise and Snyder	1908/05/05	M	AB+	Black	345-37-3627
1682	Marcus Larsen	"8430 Blake Common Apt. 425
New Nicole, ID 65615"	(Decimal('43.8249315'), Decimal('-17.795073'))	Knight Inc	2006-02-22	M	B+	Hawaiian	044-39-2431
1683	Keith Figueroa	"4761 Christopher Plain Suite 633
North Garyfort, NM 28082"	(Decimal('12.9316055'), Decimal('49.720619'))	Gray-Mann	26 Jul 1962	M	O+	White	305-62-7552
1684	Kelly Richards	"31295 Hart Summit
Ianhaven, OR 04116"	(Decimal('0.5943975'), Decimal('-31.519921'))	Eaton PLC	03 Sep 1969	M	AB-	White	450-73-5467
1685	Ann Nelson	"430 James Path
New Brandy, OK 26821"	(Decimal('-61.1922855'), Decimal('121.743096'))	Daniel, Howell and Gillespie	1960-08-22	F	B-	White	237-39-3429
1686	William Rice	"5036 Derek Spur Apt. 996
Frostside, NH 93692"	(Decimal('57.301521'), Decimal('-144.732449'))	Powell-Lang	08/04/2018, 00:00:00	M	B-	Indian	570-26-1975
1687	Paula Gonzalez	"42915 Atkinson Springs Suite 112
Alexview, CT 51138"	(Decimal('-22.7127545'), Decimal('-134.298426'))	Diaz-Merritt	1942-03-04	F	B+	Black	255-47-0936
1688	Patricia Garza	"97484 Vega Rest
North Marymouth, CO 99192"	(Decimal('-37.771166'), Decimal('60.559229'))	Nelson and Sons	1928-01-14	F	B+	White	434-94-4667
1689	Briana Maldonado	"25592 Stephanie Brooks
Port Sarahmouth, TN 13074"	(Decimal('66.9405815'), Decimal('87.856336'))	Foster Group	17 Apr 1952	F	B-	black	893-40-1227
1690	Matthew Barnes	"7674 Brown Vista
South Christine, NJ 81364"	(Decimal('-11.643462'), Decimal('-71.864207'))	Nichols, Abbott and Smith	1964/01/21	M	O-	White	095-02-2911
1691	Penny Rasmussen	"0008 Jenkins Mission Suite 373
Annamouth, WI 14003"	(Decimal('44.4052155'), Decimal('-150.245420'))	Jackson-Schmidt	27 Apr 2010	F	AB-	Black	071-24-8089
1692	Sandra Fuentes	"82304 King Stravenue
Donaldmouth, NV 73794"	(Decimal('81.6479295'), Decimal('46.905429'))	Garcia, Guerra and Carr	02/12/2003, 00:00:00	F	O-	Black	014-93-5959
1693	Brenda James	"444 Bolton Orchard Apt. 879
Suttonview, KS 82717"	(Decimal('9.3847305'), Decimal('160.031616'))	Santiago, Mckinney and Black	24 Jul 1999	F	AB-	White	541-42-7513
1694	Scott White	"80037 Berry Unions Apt. 912
Thomasport, NE 27982"	(Decimal('6.9386195'), Decimal('89.364680'))	Silva, Love and Adams	09/22/1977, 00:00:00	M	B-	White	184-54-7544
1695	Shane Russell	"005 Andrew Meadow
South Jessicaview, MO 77048"	(Decimal('-82.0704765'), Decimal('15.698304'))	Flores Inc	1934-09-17	M	A-	Asian	136-45-5054
1696	Mark Arnold	"6764 Crystal Plains
West Terriborough, NV 13816"	(Decimal('-39.553059'), Decimal('-66.268008'))	Cooper Ltd	04/30/2008, 00:00:00	M	O-	White	871-34-0478
1697	Casey Lloyd	"28563 Smith Roads
Ballport, CT 14199"	(Decimal('58.263388'), Decimal('50.316877'))	Johnson, Macdonald and Morris	1919/10/18	M	AB+	Black	429-37-8783
1698	Jill Wright	"Unit 4111 Box 2540
DPO AP 63867"	(Decimal('-18.957647'), Decimal('90.249904'))	Bridges, James and Evans	1920/01/31	F	A+	Asian	031-94-3616
1699	Randy Todd	"131 Holland Creek
New Anthonyport, OR 11332"	(Decimal('70.5734145'), Decimal('96.736203'))	Wilson, Morgan and Watson	1955-09-21	M	AB-	Black	485-74-5911
1700	Dorothy Willis	"287 Micheal Pike Apt. 036
Garzaside, WY 21200"	(Decimal('65.967272'), Decimal('160.676573'))	Jordan-Patterson	04/20/1972, 00:00:00	F	O-	Indian	685-87-2511
1701	Denise Reyes	"65900 Brian Village
Johnmouth, KS 65380"	(Decimal('63.1073155'), Decimal('-159.689304'))	Knapp PLC	02 Sep 1938	F	A+	Indian	191-63-8063
1702	Billy Fisher	"9657 Greene Circle
Harrisview, AR 84195"	(Decimal('-64.007103'), Decimal('-0.764852'))	Smith-Williams	10/17/1999, 00:00:00	M	AB+	White	832-60-6072
1703	Erika Eaton DDS	"9573 Williams Rapid Apt. 185
Carpenterville, DE 11733"	(Decimal('57.441514'), Decimal('-75.652556'))	Jacobs-Cole	21 Aug 1906	F	O+	White	855-90-6862
1704	Kelly Rivera	"668 Paul Pass
Lauraville, OH 48988"	(Decimal('78.568145'), Decimal('-10.335057'))	Fernandez, Sandoval and Yoder	1968/07/26	F	A+	White	347-62-0983
1705	Clinton Krueger	"8118 Jennifer Junction Suite 069
Lake Amanda, RI 45038"	(Decimal('-26.2132385'), Decimal('-101.047177'))	White, Perez and Moses	02/27/2008, 00:00:00	M	O+	Black	737-06-6833
1706	Taylor Watson	"64160 Brandon Spring
Robertborough, WI 51285"	(Decimal('-9.4765885'), Decimal('23.929850'))	Lindsey-Henry	1969/07/23	F	O-	White	243-97-8549
1707	Shelly Barnes	"818 Rice Manors Apt. 168
New Michael, AR 21507"	(Decimal('72.7028655'), Decimal('96.806744'))	Armstrong-Carter	13 Jun 2021	F	A+	Black	178-62-3420
1708	Lisa Armstrong	"68248 Johnson Harbors Suite 102
South Ashleyview, CO 84228"	(Decimal('-18.794854'), Decimal('-154.427162'))	Jackson, Lopez and Hurst	17 Jul 1937	F	A-	Black	368-14-0394
1709	Linda Moore	"Unit 6654 Box 8984
DPO AP 77149"	(Decimal('-2.381082'), Decimal('37.620848'))	Mccormick-Ward	1955/02/15	F	AB-	White	707-23-4771
